Input File: e:\srs020.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 450 Hz
Stop  Freq.: 800 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  4.500000e+02  -8.364574e+01 
  4.544304e+02  -8.375396e+01 
  4.588607e+02  -8.379613e+01 
  4.632911e+02  -8.371095e+01 
  4.677215e+02  -8.369876e+01 
  4.721519e+02  -8.370057e+01 
  4.765823e+02  -8.369926e+01 
  4.810127e+02  -8.370810e+01 
  4.854430e+02  -8.369444e+01 
  4.898734e+02  -8.371951e+01 
  4.943038e+02  -8.372672e+01 
  4.987342e+02  -8.373582e+01 
  5.031646e+02  -8.376845e+01 
  5.075949e+02  -8.378619e+01 
  5.120253e+02  -8.378832e+01 
  5.164557e+02  -8.382162e+01 
  5.208860e+02  -8.383515e+01 
  5.253165e+02  -8.386426e+01 
  5.297468e+02  -8.385678e+01 
  5.341772e+02  -8.389748e+01 
  5.386076e+02  -8.393316e+01 
  5.430380e+02  -8.393348e+01 
  5.474684e+02  -8.396206e+01 
  5.518987e+02  -8.391468e+01 
  5.563291e+02  -8.401049e+01 
  5.607595e+02  -8.399734e+01 
  5.651899e+02  -8.402611e+01 
  5.696202e+02  -8.405250e+01 
  5.740507e+02  -8.408771e+01 
  5.784810e+02  -8.409861e+01 
  5.829114e+02  -8.412673e+01 
  5.873418e+02  -8.413667e+01 
  5.917722e+02  -8.417030e+01 
  5.962025e+02  -8.418936e+01 
  6.006329e+02  -8.420872e+01 
  6.050633e+02  -8.423294e+01 
  6.094937e+02  -8.426050e+01 
  6.139241e+02  -8.428394e+01 
  6.183544e+02  -8.430999e+01 
  6.227848e+02  -8.434148e+01 
  6.272152e+02  -8.437589e+01 
  6.316456e+02  -8.441534e+01 
  6.360759e+02  -8.447824e+01 
  6.405063e+02  -8.458931e+01 
  6.449367e+02  -8.496000e+01 
  6.493671e+02  -8.338210e+01 
  6.537975e+02  -8.413613e+01 
  6.582278e+02  -8.425260e+01 
  6.626582e+02  -8.435309e+01 
  6.670886e+02  -8.448496e+01 
  6.715190e+02  -8.446658e+01 
  6.759493e+02  -8.452662e+01 
  6.803798e+02  -8.464239e+01 
  6.848101e+02  -8.500404e+01 
  6.892405e+02  -8.262733e+01 
  6.936709e+02  -8.396411e+01 
  6.981013e+02  -8.414526e+01 
  7.025316e+02  -8.412836e+01 
  7.069620e+02  -8.384778e+01 
  7.113924e+02  -8.853318e+01 
  7.158228e+02  -8.503552e+01 
  7.202532e+02  -8.486526e+01 
  7.246835e+02  -8.498869e+01 
  7.291140e+02  -8.463387e+01 
  7.335443e+02  -8.469311e+01 
  7.379747e+02  -8.470375e+01 
  7.424051e+02  -8.471020e+01 
  7.468354e+02  -8.477271e+01 
  7.512658e+02  -8.474317e+01 
  7.556962e+02  -8.475600e+01 
  7.601266e+02  -8.476362e+01 
  7.645569e+02  -8.479930e+01 
  7.689874e+02  -8.481445e+01 
  7.734177e+02  -8.481483e+01 
  7.778481e+02  -8.482362e+01 
  7.822785e+02  -8.484216e+01 
  7.867089e+02  -8.485823e+01 
  7.911392e+02  -8.486613e+01 
  7.955696e+02  -8.488655e+01 
  8.000000e+02  -8.491188e+01 
