[GCS_ARRAY Current Position of axis1]
# VERSION = 1
# TYPE = 1
# SEPARATOR = 9
# DIM = 2
# SAMPLE_TIME = 5e-005
# NDATA = 30000
#
# NAME0 = Current Position of axis1
# NAME1 = Sensor Normalized of input chan4
#
# END_HEADER
0.769463	-2416
0.770363	-2408
0.771271	-2384
0.772095	-2416
0.772858	-2416
0.773689	-2360
0.774727	-2360
0.775826	-2392
0.776932	-2392
0.778008	-2424
0.779076	-2448
0.780144	-2432
0.781158	-2432
0.782135	-2488
0.782982	-2504
0.783783	-2496
0.784599	-2480
0.785408	-2528
0.786324	-2552
0.787277	-2552
0.788254	-2496
0.78923	-2536
0.790268	-2560
0.791321	-2576
0.792389	-2624
0.793205	-2632
0.794052	-2648
0.794952	-2616
0.795815	-2608
0.796646	-2624
0.797523	-2616
0.798409	-2624
0.799263	-2648
0.800079	-2608
0.801003	-2632
0.801926	-2600
0.802826	-2664
0.803711	-2648
0.80452	-2600
0.805359	-2616
0.806198	-2656
0.806915	-2648
0.807602	-2624
0.808372	-2632
0.809204	-2632
0.809982	-2608
0.810738	-2600
0.811478	-2584
0.812294	-2576
0.813087	-2608
0.813911	-2600
0.814751	-2592
0.815514	-2584
0.816269	-2576
0.816994	-2600
0.817673	-2592
0.818382	-2616
0.819099	-2608
0.81974	-2624
0.820435	-2640
0.821144	-2600
0.821945	-2640
0.822746	-2640
0.823547	-2672
0.824425	-2648
0.825264	-2640
0.826035	-2664
0.826714	-2688
0.827423	-2640
0.828026	-2680
0.828705	-2704
0.829308	-2656
0.830002	-2632
0.830795	-2616
0.831543	-2656
0.832321	-2696
0.833145	-2648
0.833817	-2640
0.834373	-2664
0.835022	-2688
0.835709	-2680
0.83651	-2656
0.837189	-2672
0.837936	-2672
0.838669	-2680
0.839378	-2720
0.839981	-2744
0.840561	-2800
0.841255	-2720
0.841888	-2752
0.842506	-2752
0.843071	-2784
0.843597	-2776
0.844147	-2800
0.844788	-2760
0.845383	-2728
0.846008	-2752
0.846558	-2752
0.847198	-2768
0.847801	-2768
0.848465	-2776
0.849159	-2768
0.849915	-2800
0.850601	-2832
0.851219	-2856
