Input File: e:\srs014.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 300 Hz
Stop  Freq.: 350 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  3.000000e+02  -8.077439e+01 
  3.006329e+02  -8.072712e+01 
  3.012658e+02  -8.064223e+01 
  3.018987e+02  -8.058586e+01 
  3.025316e+02  -8.051157e+01 
  3.031646e+02  -8.027750e+01 
  3.037975e+02  -8.017344e+01 
  3.044304e+02  -8.004723e+01 
  3.050633e+02  -7.993509e+01 
  3.056962e+02  -7.984397e+01 
  3.063291e+02  -7.970121e+01 
  3.069620e+02  -7.952689e+01 
  3.075949e+02  -7.935287e+01 
  3.082278e+02  -7.914702e+01 
  3.088607e+02  -7.892522e+01 
  3.094937e+02  -7.871922e+01 
  3.101266e+02  -7.843512e+01 
  3.107595e+02  -7.814118e+01 
  3.113924e+02  -7.776977e+01 
  3.120253e+02  -7.739730e+01 
  3.126582e+02  -7.690531e+01 
  3.132911e+02  -7.639574e+01 
  3.139240e+02  -7.572237e+01 
  3.145570e+02  -7.484848e+01 
  3.151899e+02  -7.401457e+01 
  3.158228e+02  -7.287502e+01 
  3.164557e+02  -7.139699e+01 
  3.170886e+02  -6.957551e+01 
  3.177215e+02  -6.689870e+01 
  3.183544e+02  -6.088193e+01 
  3.189873e+02  -5.273912e+01 
  3.196202e+02  -5.442699e+01 
  3.202532e+02  -6.607597e+01 
  3.208861e+02  -7.182427e+01 
  3.215190e+02  -7.497378e+01 
  3.221519e+02  -7.610262e+01 
  3.227848e+02  -7.728088e+01 
  3.234177e+02  -7.841884e+01 
  3.240506e+02  -7.940741e+01 
  3.246835e+02  -8.030005e+01 
  3.253165e+02  -8.092506e+01 
  3.259494e+02  -8.127472e+01 
  3.265823e+02  -8.146609e+01 
  3.272152e+02  -8.144198e+01 
  3.278481e+02  -8.115850e+01 
  3.284810e+02  -8.061570e+01 
  3.291139e+02  -7.975829e+01 
  3.297468e+02  -7.832943e+01 
  3.303798e+02  -7.641745e+01 
  3.310127e+02  -7.330695e+01 
  3.316456e+02  -6.725585e+01 
  3.322785e+02  -5.719962e+01 
  3.329114e+02  -5.826320e+01 
  3.335443e+02  -7.224258e+01 
  3.341772e+02  -7.533383e+01 
  3.348101e+02  -7.725092e+01 
  3.354430e+02  -7.837221e+01 
  3.360760e+02  -7.916900e+01 
  3.367089e+02  -7.998801e+01 
  3.373418e+02  -8.071203e+01 
  3.379747e+02  -8.129380e+01 
  3.386076e+02  -8.176218e+01 
  3.392405e+02  -8.220025e+01 
  3.398734e+02  -8.258940e+01 
  3.405063e+02  -8.289862e+01 
  3.411393e+02  -8.320949e+01 
  3.417722e+02  -8.349769e+01 
  3.424051e+02  -8.371495e+01 
  3.430380e+02  -8.395504e+01 
  3.436709e+02  -8.411183e+01 
  3.443038e+02  -8.427690e+01 
  3.449367e+02  -8.452789e+01 
  3.455696e+02  -8.465974e+01 
  3.462025e+02  -8.504282e+01 
  3.468354e+02  -8.391662e+01 
  3.474684e+02  -8.519604e+01 
  3.481013e+02  -8.583031e+01 
  3.487342e+02  -8.621104e+01 
  3.493671e+02  -8.541165e+01 
  3.500000e+02  -8.571394e+01 
