Input File: e:\srs015.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 600 Hz
Stop  Freq.: 750 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  6.000000e+02  -8.422719e+01 
  6.018987e+02  -8.421948e+01 
  6.037975e+02  -8.422948e+01 
  6.056962e+02  -8.424004e+01 
  6.075949e+02  -8.425237e+01 
  6.094937e+02  -8.430603e+01 
  6.113924e+02  -8.428465e+01 
  6.132911e+02  -8.430325e+01 
  6.151899e+02  -8.430907e+01 
  6.170886e+02  -8.431807e+01 
  6.189874e+02  -8.433256e+01 
  6.208860e+02  -8.434650e+01 
  6.227848e+02  -8.436439e+01 
  6.246835e+02  -8.438428e+01 
  6.265823e+02  -8.435564e+01 
  6.284810e+02  -8.443605e+01 
  6.303798e+02  -8.448508e+01 
  6.322785e+02  -8.454273e+01 
  6.341772e+02  -8.465885e+01 
  6.360759e+02  -8.494136e+01 
  6.379747e+02  -9.085553e+01 
  6.398734e+02  -8.423346e+01 
  6.417722e+02  -8.395803e+01 
  6.436709e+02  -8.418177e+01 
  6.455696e+02  -8.429287e+01 
  6.474684e+02  -8.436366e+01 
  6.493671e+02  -8.419913e+01 
  6.512658e+02  -8.457999e+01 
  6.531646e+02  -8.380233e+01 
  6.550633e+02  -8.411861e+01 
  6.569620e+02  -8.426066e+01 
  6.588608e+02  -8.433700e+01 
  6.607595e+02  -8.438589e+01 
  6.626582e+02  -8.444902e+01 
  6.645569e+02  -8.450665e+01 
  6.664557e+02  -8.460024e+01 
  6.683544e+02  -8.480878e+01 
  6.702532e+02  -8.595042e+01 
  6.721519e+02  -8.327872e+01 
  6.740507e+02  -8.397202e+01 
  6.759493e+02  -8.413924e+01 
  6.778481e+02  -8.420457e+01 
  6.797468e+02  -8.425169e+01 
  6.816456e+02  -8.428306e+01 
  6.835443e+02  -8.430388e+01 
  6.854431e+02  -8.431979e+01 
  6.873418e+02  -8.430418e+01 
  6.892405e+02  -8.422488e+01 
  6.911392e+02  -8.456935e+01 
  6.930380e+02  -8.442550e+01 
  6.949367e+02  -8.440500e+01 
  6.968354e+02  -8.439386e+01 
  6.987342e+02  -8.437138e+01 
  7.006329e+02  -8.435848e+01 
  7.025316e+02  -8.431020e+01 
  7.044304e+02  -8.422487e+01 
  7.063291e+02  -8.409978e+01 
  7.082278e+02  -8.334923e+01 
  7.101266e+02  -8.648791e+01 
  7.120253e+02  -8.524922e+01 
  7.139241e+02  -8.500463e+01 
  7.158228e+02  -8.490867e+01 
  7.177215e+02  -8.491508e+01 
  7.196202e+02  -8.517297e+01 
  7.215190e+02  -8.435266e+01 
  7.234177e+02  -8.460569e+01 
  7.253165e+02  -8.464040e+01 
  7.272152e+02  -8.465401e+01 
  7.291140e+02  -8.466969e+01 
  7.310126e+02  -8.468482e+01 
  7.329114e+02  -8.470181e+01 
  7.348101e+02  -8.470465e+01 
  7.367089e+02  -8.469255e+01 
  7.386076e+02  -8.469765e+01 
  7.405063e+02  -8.471774e+01 
  7.424051e+02  -8.471801e+01 
  7.443038e+02  -8.472977e+01 
  7.462025e+02  -8.475281e+01 
  7.481013e+02  -8.474548e+01 
  7.500000e+02  -8.502357e+01 
