Input File: e:\srs012.78d
Measure Group: Swept Sine
Measurement: Lin Spec 2
Num of extracted Points: 80
Start Freq.: 350 Hz
Stop  Freq.: 450 Hz
Sweep Type: Linear
Auto Level: Off
Amplitude: 1000.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   500 ms
Settle Cycles:   10
Integration Time:   1 s
Integration Cycles:  100

    X[Hz]        Mag[dBVpk]   
  3.500000e+02  -8.758919e+01 
  3.512658e+02  -8.858009e+01 
  3.525316e+02  -7.382102e+01 
  3.537975e+02  -8.516721e+01 
  3.550633e+02  -8.186728e+01 
  3.563291e+02  -8.295287e+01 
  3.575949e+02  -8.340826e+01 
  3.588607e+02  -8.386671e+01 
  3.601266e+02  -8.418757e+01 
  3.613924e+02  -8.444696e+01 
  3.626582e+02  -8.526781e+01 
  3.639240e+02  -8.524428e+01 
  3.651899e+02  -8.564697e+01 
  3.664557e+02  -8.619370e+01 
  3.677215e+02  -8.697011e+01 
  3.689873e+02  -8.778429e+01 
  3.702532e+02  -8.860147e+01 
  3.715190e+02  -8.956998e+01 
  3.727848e+02  -8.976018e+01 
  3.740506e+02  -8.495625e+01 
  3.753165e+02  -7.556364e+01 
  3.765823e+02  -5.792614e+01 
  3.778481e+02  -6.827795e+01 
  3.791139e+02  -7.531164e+01 
  3.803798e+02  -7.701747e+01 
  3.816456e+02  -7.872008e+01 
  3.829114e+02  -7.924317e+01 
  3.841772e+02  -7.977024e+01 
  3.854430e+02  -8.014412e+01 
  3.867089e+02  -8.048878e+01 
  3.879747e+02  -8.081776e+01 
  3.892405e+02  -8.107691e+01 
  3.905063e+02  -8.136230e+01 
  3.917722e+02  -8.155718e+01 
  3.930380e+02  -8.210922e+01 
  3.943038e+02  -8.267867e+01 
  3.955696e+02  -8.364749e+01 
  3.968354e+02  -8.591173e+01 
  3.981013e+02  -9.073904e+01 
  3.993671e+02  -6.548775e+01 
  4.006329e+02  -7.596976e+01 
  4.018987e+02  -7.538578e+01 
  4.031646e+02  -7.727147e+01 
  4.044304e+02  -7.744781e+01 
  4.056962e+02  -7.755959e+01 
  4.069620e+02  -7.728797e+01 
  4.082278e+02  -7.680773e+01 
  4.094937e+02  -7.594679e+01 
  4.107595e+02  -7.434028e+01 
  4.120253e+02  -7.153697e+01 
  4.132911e+02  -5.895031e+01 
  4.145570e+02  -7.304546e+01 
  4.158228e+02  -8.628049e+01 
  4.170886e+02  -8.887402e+01 
  4.183544e+02  -8.838813e+01 
  4.196202e+02  -8.765511e+01 
  4.208861e+02  -8.684672e+01 
  4.221519e+02  -8.614653e+01 
  4.234177e+02  -8.565129e+01 
  4.246835e+02  -8.522523e+01 
  4.259494e+02  -8.499958e+01 
  4.272152e+02  -8.472083e+01 
  4.284810e+02  -8.464531e+01 
  4.297468e+02  -8.448318e+01 
  4.310127e+02  -8.435847e+01 
  4.322785e+02  -8.426778e+01 
  4.335443e+02  -8.414999e+01 
  4.348101e+02  -8.407143e+01 
  4.360760e+02  -8.401270e+01 
  4.373418e+02  -8.396316e+01 
  4.386076e+02  -8.397477e+01 
  4.398734e+02  -8.388795e+01 
  4.411393e+02  -8.384617e+01 
  4.424051e+02  -8.378689e+01 
  4.436709e+02  -8.373091e+01 
  4.449367e+02  -8.373181e+01 
  4.462025e+02  -8.361834e+01 
  4.474684e+02  -8.383817e+01 
  4.487342e+02  -8.371349e+01 
  4.500000e+02  -8.334904e+01 
